"energy","tempo","danceability","playlist_genre","loudness","liveness","valence","track_artist","time_signature","speechiness","track_name","instrumentalness","key","acousticness","playlist_subgenre","song_id"
"386","192004","504","pop","-10976","961","281","Taylor Swift, Post Malone","4","308","Fortnight (feat. Post Malone)","0,00153","11","502","mainstream","40"
"681","155079","56","pop","-6304","106","388","Omar Courtz, De La Rose","4","244","Q U E V A S H A C E R H O Y ?","0","6","103","mainstream","41"
"472","101061","898","pop","-7001","141","214","Kendrick Lamar","4","776","Not Like Us","0","1","107","mainstream","42"
"711","146921","487","pop","-422","152","317","Jin","4","322","Running Wild","0","8","175","mainstream","43"
"712","9198","848","pop","-3574","106","692","KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd","4","981","57","0","1","221","mainstream","44"
"645","114933","882","pop","-7233","57","788","Ndotz","4","601","Embrace It","0,00413","1","475","mainstream","45"
"872","184115","466","pop","-3344","121","806","Linkin Park","4","336","The Emptiness Machine","0","7","156","mainstream","46"
"756","116034","66","pop","-3743","193","838","Jimin","4","32","Who","0","0","289","mainstream","47"
"508","147125","579","rock","-9484","575","609","Eagles","4","27","Hotel California - 2013 Remaster","494","2","574","classic","48"
"89","13352","502","rock","-5175","217","259","AC/DC","4","364","Thunderstruck","117","4","147","classic","49"
"446","123596","743","rock","-7807","337","278","The White Stripes","4","683","Seven Nation Army","118","4","39","classic","50"
"43","91844","515","rock","-9935","129","104","Radiohead","4","372","Creep","133","7","97","classic","51"
"824","120125","5","rock","-5846","916","539","Nirvana","4","388","Come As You Are","161","4","16","classic","52"
"767","96483","592","rock","-2788","127","328","Red Hot Chili Peppers","4","27","Californication","165","9","21","classic","53"
"952","125304","445","rock","-5321","112","624","Guns N' Roses","4","522","Sweet Child O' Mine","843","6","9","classic","54"
"795","158691","464","rock","-9267","399","612","The Rolling Stones","4","926","Paint It, Black","244","1","493","classic","55"
"492","120151","828","rock","-9744","128","789","Fleetwood Mac","4","276","Dreams - 2004 Remaster","428","0","644","classic","56"
"881","158066","413","rock","-5541","805","364","Foo Fighters","4","367","Everlong","308","11","0,00599","classic","57"
"716","94379","535","rock","-5025","659","901","Joan Jett & the Blackhearts","4","431","I Love Rock 'N Roll","0","4","326","classic","58"
"322","93503","475","rock","-10687","11","387","Kansas","4","283","Dust in the Wind","56","7","367","classic","59"
"394","104114","693","rock","-15882","247","721","Pink Floyd","4","428","Another Brick in the Wall, Pt. 2","694","0","782","classic","60"
"899","152445","475","rock","-4321","14","603","Bon Jovi","4","637","Runaway","0,00191","9","375","classic","61"
"943","85064","442","rock","-3205","91","781","Green Day","4","602","Basket Case","0,000871","3","293","classic","62"
"345","84581","559","rock","-13496","141","458","Red Hot Chili Peppers","4","459","Under the Bridge","105","4","576","classic","63"
"814","147193","673","rock","-5411","343","728","Billy Idol","4","367","White Wedding - Pt. 1","293","9","134","classic","64"
"767","127361","532","rock","-5509","39","755","AC/DC","4","574","You Shook Me All Night Long","513","7","287","classic","65"
"863","136302","723","rock","-789","128","931","The Rolling Stones","4","338","(I Can't Get No) Satisfaction - Mono Version","317","2","383","classic","66"
"449","100456","486","rock","-10298","54","549","David Bowie","4","267","Starman - 2012 Remaster","0,000223","5","166","classic","67"
"902","8974","412","rock","-116","405","422","Led Zeppelin","4","405","Whole Lotta Love - 1990 Remaster","131","9","484","classic","68"
"722","103886","55","rock","-11729","11","716","The Doors","4","283","Riders on the Storm","129","11","25","classic","69"
"944","105338","394","rock","-6506","298","265","Pearl Jam","4","761","Even Flow","0,000454","10","178","classic","70"
"952","122093","398","rock","-6042","1","584","Bruce Springsteen","4","61","Born in the U.S.A.","0,00775","4","373","classic","71"
"917","171176","356","rock","-6006","406","518","The Verve","4","479","Bitter Sweet Symphony - Remastered 2016","0","9","335","classic","72"
"589","124634","455","rock","-864","104","254","Guns N' Roses","4","328","Don't Cry (Original)","358","11","184","classic","73"
"805","113253","438","rock","-6237","842","564","Jimi Hendrix","4","624","All Along the Watchtower","0,00569","8","255","classic","74"
"239","189507","446","rock","-13945","697","298","Phil Collins","4","316","In The Air Tonight - 2015 Remastered","0,000041","0","551","classic","75"
"521","123118","721","rock","-8123","127","942","Talking Heads","4","613","Psycho Killer - 2005 Remaster","545","2","708","classic","76"
"67","129269","619","rock","-10322","331","777","Lenny Kravitz","4","353","Are You Gonna Go My Way","109","11","165","classic","77"
"828","10525","539","rock","-9108","154","562","Metallica","4","35","Master of Puppets (Remastered)","421","4","67","classic","78"
"487","114965","73","rock","-10991","852","731","Fleetwood Mac","4","303","Everywhere - 2017 Remaster","1","4","258","classic","79"
"697","116109","741","rock","-7028","133","774","Creedence Clearwater Revival","4","277","Have You Ever Seen The Rain","0,00228","0","664","classic","80"
"579","127215","62","rock","-9307","858","691","The Cars","4","473","Just What I Needed","0,00064","4","152","classic","81"
"912","116761","502","rock","-4556","106","72","Nirvana","4","564","Smells Like Teen Spirit","173","1","0,00255","classic","82"
"833","88785","466","rock","-4215","327","661","Rage Against The Machine","4","304","Killing In The Name","0","7","266","classic","83"
"376","164775","53","rock","-11913","926","188","The Beatles","4","4","Come Together - Remastered 2009","247","9","304","classic","84"
"786","126755","482","rock","-5735","446","793","Kansas","4","32","Carry on Wayward Son","0,00888","7","321","classic","85"
"789","129802","674","rock","-6903","753","918","Blur","4","676","Song 2 - 2012 Remaster","708","8","178","classic","86"
"441","81334","519","rock","-14178","76","25","Pixies","4","353","Where Is My Mind? - 2007 Remaster","453","4","204","classic","87"
"836","113375","743","rock","-6465","384","82","The Clash","4","116","Should I Stay or Should I Go - Remastered","0","2","804","classic","88"
"528","109975","932","rock","-6472","163","757","Queen","4","161","Another One Bites The Dust - Remastered 2011","329","5","115","classic","89"
"905","128019","602","rock","-4046","117","411","Muse","4","775","Uprising","64","2","202","classic","90"
"519","98883","653","rock","-10164","101","822","Buffalo Springfield","4","497","For What It's Worth","209","2","406","classic","91"
"946","13818","454","rock","-5978","173","647","Van Halen","4","13","You Really Got Me - 2015 Remaster","0","1","223","classic","92"
"828","105435","35","rock","-5373","774","147","Soundgarden","4","41","Black Hole Sun","161","6","217","classic","93"
"349","124348","489","rock","-14295","866","622","Santana","4","323","Black Magic Woman - Single Version","789","2","676","classic","94"
"872","159925","587","rock","-5066","622","735","Lenny Kravitz","4","484","Fly Away","0","7","18","classic","95"
"808","151008","577","rock","-704","221","869","The Police","4","39","Message In A Bottle","0,00133","1","338","classic","96"
"758","112113","489","rock","-6491","92","435","David Bowie","4","297","Heroes - 2017 Remaster","49","7","678","classic","97"
"932","112937","564","rock","-10068","349","619","Led Zeppelin","4","554","Immigrant Song - Remaster","169","11","13","classic","98"
"338","177765","388","rock","-10054","248","478","Electric Light Orchestra","4","329","Mr. Blue Sky","0,000373","10","652","classic","99"
"7","188386","31","rock","-5678","828","763","AC/DC","4","47","Back In Black","965","9","11","classic","100"
"691","137145","548","rock","-13553","144","667","Heart","4","369","Barracuda","106","4","15","classic","101"
"532","136576","601","rock","-9119","925","342","Elton John","4","286","Rocket Man (I Think It's Going To Be A Long, Long Time)","0,000595","10","433","classic","102"
"641","203006","256","rock","-10283","853","382","Nirvana","4","552","Heart-Shaped Box","329","1","199","classic","103"
"755","109535","667","rock","-7246","523","883","Eagles","4","69","Life in the Fast Lane - 2013 Remaster","0,00694","9","966","classic","104"
"373","92718","671","rock","-18064","481","732","TOTO","4","323","Africa","0,00801","9","257","classic","105"
"927","141466","333","rock","-855","297","385","Blue Öyster Cult","4","733","(Don't Fear) The Reaper","208","9","29","classic","106"
"787","126879","767","rock","-9897","513","964","The Smashing Pumpkins","4","331","1979 - Remastered 2012","583","3","163","classic","107"
"366","127163","472","rock","-12595","837","171","Pink Floyd","4","286","Comfortably Numb","312","11","15","classic","108"
"864","81394","437","rock","-7842","242","749","Led Zeppelin","4","904","Black Dog - Remaster","314","4","396","classic","109"
"584","170411","509","rock","-4907","384","685","Queens of the Stone Age","4","57","No One Knows","0,00996","0","368","classic","110"
"912","117399","575","rock","-7275","562","843","The Doobie Brothers","4","393","Long Train Runnin'","211","7","916","classic","111"
"611","85387","654","rock","-1045","405","786","Beck","4","119","Loser","178","2","337","classic","112"
"482","138453","529","rock","-11709","842","492","Don McLean","4","599","American Pie","0","4","7","classic","113"
"748","134114","618","rock","-8905","473","663","The Police","4","358","Roxanne","0,000041","0","384","classic","114"
"7","147245","586","rock","-9558","318","897","The Knack","4","363","My Sharona","125","0","589","classic","115"
"318","104522","575","rock","-16729","934","385","Lou Reed","4","109","Walk On the Wild Side","202","0","683","classic","116"
"706","80823","445","rock","-9803","205","768","Thin Lizzy","4","461","The Boys Are Back In Town","252","8","234","classic","117"
"913","115728","574","rock","-4793","156","423","AC/DC","4","133","Highway to Hell","158","6","61","classic","118"
"495","124936","532","rock","-6662","754","308","Billy Joel","4","343","Vienna","0","10","659","classic","119"
"875","75009","284","rock","-6069","402","595","Pearl Jam","4","422","Alive","461","11","752","classic","120"
"737","103867","662","rock","-954","119","744","Tina Turner","4","296","The Best","191","0","108","classic","121"
"936","91577","666","rock","-9919","153","776","Red Hot Chili Peppers","4","476","Give It Away","86","7","244","classic","122"
"432","94605","475","rock","-7844","161","648","Green Day","4","302","Good Riddance (Time of Your Life)","0","7","183","classic","123"
"549","176941","516","rock","-13741","184","907","Don Henley","4","373","The Boys Of Summer","572","6","501","classic","124"
"751","89839","421","rock","-9584","17","789","The Doors","4","472","Break on Through (To the Other Side)","0","9","2","classic","125"
"938","168131","324","rock","-7332","961","543","Beastie Boys","4","102","Sabotage","321","6","32","classic","126"
"953","84989","267","rock","-4899","283","568","Def Leppard","4","96","Pour Some Sugar On Me - Remastered 2017","0","1","211","classic","127"
"919","135997","465","rock","-4025","262","537","Foo Fighters","4","408","Learn to Fly","0,00207","4","0,00183","classic","128"
"58","127402","741","rock","-905","212","944","Pat Benatar","4","304","Hit Me With Your Best Shot","0,00361","4","117","classic","129"
"72","121864","404","rock","-918","466","475","The Smashing Pumpkins","4","623","Bullet With Butterfly Wings - Remastered 2012","836","10","0,00559","classic","130"
"927","170814","215","rock","-7327","126","49","Stone Temple Pilots","4","452","Interstate Love Song - 2019 Remaster","661","9","273","classic","131"
"801","133769","651","rock","-734","825","776","The Clash","4","514","London Calling - Remastered","0","0","123","classic","132"
"262","122861","481","rock","-1573","832","375","Pink Floyd","4","414","Wish You Were Here","114","7","735","classic","133"
"449","84383","623","rock","-13333","613","573","Tom Petty","4","253","Free Fallin'","0","5","212","classic","134"
"476","148117","389","rock","-9342","255","566","Blind Melon","4","316","No Rain","0,00509","9","619","classic","135"
"978","141167","526","rock","-5436","744","451","Van Halen","4","108","Panama - 2015 Remaster","0,00475","8","122","classic","136"
"842","100127","297","rock","-7457","848","586","Alice In Chains","4","488","Would? (2022 Remaster)","0,000091","6","286","classic","137"
"944","146347","27","rock","-4199","116","606","Bruce Springsteen","4","975","Born to Run","0,00205","4","501","classic","138"
"182","136094","349","jazz","-13507","143","178","Nat King Cole","3","31","Unforgettable","152","5","92","classic","139"
"164","58303","136","classical","-18756","109","71","Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra","4","364","Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato","916","4","911","essential","140"
"527","170612","184","classical","-37264","173","151","Ludwig van Beethoven, Paul Lewis","3","432","Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","887","1","995","essential","141"
"449","92468","447","classical","-10634","697","36","Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani","4","376","Experience","961","2","934","essential","142"
"812","8009","505","hip-hop","-3986","444","664","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","4","461","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","0","1","285","modern","143"
"507","130007","872","hip-hop","-6323","111","506","Gunna","4","72","HIM ALL ALONG","0","4","195","modern","144"
"802","128085","835","hip-hop","-4286","882","374","BigXthaPlug","4","243","Leave Me Alone","0,000733","7","311","modern","145"
"533","120011","794","hip-hop","-8206","207","15","Future","4","591","PLUTOSKI","0,00276","9","14","modern","146"
"722","119973","769","hip-hop","-5485","111","57","The Weeknd, Playboi Carti","4","507","Timeless (with Playboi Carti)","0,000256","11","584","modern","147"
"684","166976","832","hip-hop","-4691","229","68","GloRilla, Sexyy Red","4","359","WHATCHU KNO ABOUT ME (feat. Sexyy Red)","0","1","449","modern","148"
"642","111907","65","hip-hop","-5332","855","186","Lil Baby","4","4","Insecurities","0","2","502","modern","149"
"699","129054","92","hip-hop","-6635","745","484","NLE Choppa","4","358","Gang Baby","0","11","768","modern","150"
"628","11998","757","hip-hop","-6715","221","321","Don Toliver","4","101","NEW DROP","209","4","189","modern","151"
"709","7853","749","hip-hop","-6385","329","564","Real Boston Richey","4","259","Help Me","0","6","155","modern","152"
"69","125951","853","hip-hop","-5858","835","471","Drake","4","647","No Face","0","10","771","modern","153"
"754","131001","863","hip-hop","-5851","913","301","Future","4","611","LIL DEMON","0","11","125","modern","154"
"4","106682","608","hip-hop","-9519","119","89","Luh Tyler, BossMan Dlow","5","32","2 Slippery (feat. BossMan Dlow)","327","1","29","modern","155"
"509","15794","662","hip-hop","-9159","266","549","Lil Yachty, Veeze","4","322","Sorry Not Sorry","0","1","247","modern","156"
"663","143082","76","hip-hop","-4763","305","209","Playboi Carti","4","551","ALL RED","0","9","109","modern","157"
"761","147216","649","hip-hop","-4204","207","313","Lil Tecca, Don Toliver","4","152","I CAN’T LET GO","0","8","694","modern","158"
"663","184057","672","hip-hop","-5984","134","381","Lil Uzi Vert","4","243","Chill Bae","0","3","112","modern","159"
"681","114991","884","hip-hop","-5839","277","324","BigXthaPlug","4","149","2AM","0","8","439","modern","160"
"723","139942","783","hip-hop","-4881","159","294","Drake, Young Thug, 21 Savage","4","135","It's Up (feat. Young Thug & 21 Savage)","0","1","264","modern","161"
"831","139905","652","hip-hop","-5972","269","648","BabyChiefDoit","4","264","The Viper","0","10","111","modern","162"
"525","75013","776","hip-hop","-6723","108","467","Latto","4","137","Brokey","0","1","366","modern","163"
"5","63925","427","hip-hop","-8269","127","269","Rod Wave","5","141","25","0","0","286","modern","164"
"586","125845","731","hip-hop","-7564","987","147","NLE Choppa, 41, Kyle Richh","4","172","Or What","0","1","116","modern","165"
"552","144941","64","hip-hop","-5679","119","112","Future, Metro Boomin, Travis Scott, Playboi Carti","4","129","Type Shit","0","2","215","modern","166"
"472","101061","898","hip-hop","-7001","141","214","Kendrick Lamar","4","776","Not Like Us","0","1","107","modern","167"
"859","12977","77","hip-hop","-3382","673","64","Tyler, The Creator, ScHoolboy Q, Santigold","4","275","Thought I Was Dead (feat. ScHoolboy Q & Santigold)","0","10","362","modern","168"
"685","121991","731","hip-hop","-4707","865","458","¥$, Playboi Carti, Don Toliver, Kodak Black","4","12","FIELD TRIP","0","11","54","modern","169"
"578","124005","916","hip-hop","-6275","113","192","Future","4","124","TEFLON DON","402","11","349","modern","170"
"574","146007","694","hip-hop","-6144","82","286","Drake","4","483","Circadian Rhythm","0","1","193","modern","171"
"867","131041","902","hip-hop","-3108","142","799","BigXthaPlug","4","225","The Largest","0","10","678","modern","172"
"692","140203","637","hip-hop","-7231","345","427","Lil Uzi Vert","4","164","Light Year (Practice)","0","1","153","modern","173"
"478","104563","675","hip-hop","-10201","127","39","Tee Grizzley, J. Cole","4","512","Blow for Blow (feat. J. Cole)","0,000078","1","731","modern","174"
"878","82557","661","hip-hop","-4099","381","514","Tyler, The Creator","4","31","Rah Tah Tah","0","1","289","modern","175"
"396","78022","726","hip-hop","-9121","527","413","Juice WRLD","4","283","Both Ways","0","5","269","modern","176"
"711","117038","974","hip-hop","-5206","888","328","Doechii","4","194","NISSAN ALTIMA","0,00392","11","988","modern","177"
"527","77499","824","hip-hop","-5506","368","212","A$AP Rocky","4","118","Tailor Swif","0","8","149","modern","178"
"752","158042","638","hip-hop","-6227","17","242","Yeat","4","385","GEEK TIMË","734","1","66","modern","179"
"826","10852","654","hip-hop","-293","131","417","50 Cent","5","354","Many Men (Wish Death)","146","6","153","gangster","180"
"472","101061","898","hip-hop","-7001","141","214","Kendrick Lamar","4","776","Not Like Us","0","1","107","gangster","181"
"764","140113","882","hip-hop","-5241","119","886","Central Cee, Lil Baby","4","204","BAND4BAND (feat. Lil Baby)","0","11","359","gangster","182"
"552","144941","64","hip-hop","-5679","119","112","Future, Metro Boomin, Travis Scott, Playboi Carti","4","129","Type Shit","0","2","215","gangster","183"
"632","123987","848","hip-hop","-7381","282","253","41, Kyle Richh, Jenn Carter, TaTa","4","277","Bent (with Kyle Richh, Jenn Carter & TaTa)","0","2","398","gangster","184"
"805","142096","548","hip-hop","-5732","408","649","Pop Smoke","4","351","Dior","405","7","212","gangster","185"
"631","121854","772","hip-hop","-5082","129","433","Offset, Travis Scott","4","431","SAY MY GRACE (feat. Travis Scott)","0","10","648","gangster","186"
"702","125089","871","hip-hop","-8025","912","675","Lil Loaded","4","253","6locc 6a6y","0","5","296","gangster","187"
"57","142974","787","hip-hop","-5881","135","733","Lil Durk, J. Cole","4","225","All My Life (feat. J. Cole)","0","3","449","gangster","188"
"583","116624","709","hip-hop","-5298","195","533","Metro Boomin, Future, Chris Brown","4","204","Superhero (Heroes & Villains) [with Future & Chris Brown]","0,000297","5","138","gangster","189"
"592","15998","82","hip-hop","-7002","121","4","King Von","4","29","Took Her To The O","0,000471","1","149","gangster","190"
"68","144006","85","hip-hop","-618","964","694","Central Cee","1","338","Loading","0","3","732","gangster","191"
"758","165409","681","hip-hop","-6524","555","331","21 Savage, Travis Scott, Metro Boomin","4","188","née-nah","0","1","465","gangster","192"
"413","131964","772","hip-hop","-8194","111","211","Chief Keef","4","891","Love Sosa","0","0","361","gangster","193"
"658","151951","752","hip-hop","-6297","927","387","Future, Lil Uzi Vert","4","342","Drankin N Smokin","0","0","421","gangster","194"
"732","142791","548","hip-hop","-5652","269","612","Pop Smoke","4","336","Invincible","0","11","125","gangster","195"
"676","143477","594","hip-hop","-5808","163","472","JACKBOYS, Pop Smoke, Travis Scott","4","344","GATTI","0","2","135","gangster","196"
"618","997","49","hip-hop","-5655","259","286","Pop Smoke, 50 Cent, Roddy Ricch","4","104","The Woo (feat. 50 Cent & Roddy Ricch)","0,000377","1","221","gangster","197"
"35","77528","822","hip-hop","-12207","757","346","Polo G","4","574","Neva Cared","0","1","213","gangster","198"
"946","150141","804","hip-hop","-5949","359","745","Key Glock","4","352","Mr. Glock","0","7","2","gangster","199"
"626","14301","819","hip-hop","-4574","167","415","21 Savage, Metro Boomin","4","202","Runnin","101","10","748","gangster","200"
"592","188051","696","hip-hop","-6281","127","232","King Von","4","319","Armed & Dangerous","0","1","152","gangster","201"
"547","13805","92","hip-hop","-498","998","606","Lil Yachty","4","272","Coffin","0,000145","6","241","gangster","202"
"395","76984","793","hip-hop","-5578","109","128","Lil Baby, Gunna","4","385","Ready (feat. Gunna)","0,00014","1","277","gangster","203"
"774","130007","867","hip-hop","-5791","157","549","Key Glock","4","315","Russian Cream","0","11","11","gangster","204"
"449","136006","578","hip-hop","-6349","119","1","Drake, Lil Baby","4","286","Wants and Needs (feat. Lil Baby)","0,000217","1","618","gangster","205"
"673","165921","529","hip-hop","-4711","93","366","Drake, 21 Savage","4","175","Jimmy Cooks (feat. 21 Savage)","0,000241","0","307","gangster","206"
"73","156953","729","hip-hop","-514","118","41","King Von","4","261","Crazy Story, Pt. 3","0,00433","11","165","gangster","207"
"487","12705","964","hip-hop","-6071","115","108","Lil Baby","4","421","Pure Cocaine","0,000607","10","127","gangster","208"
"732","149012","841","hip-hop","-5186","136","576","Key Glock","4","19","Ambition For Cash","0,00218","7","115","gangster","209"
"611","134093","711","hip-hop","-5453","23","144","Baby Keem, Kendrick Lamar","4","33","family ties (with Kendrick Lamar)","0","1","588","gangster","210"
"733","130029","847","hip-hop","-6439","151","202","21 Savage, Metro Boomin","4","16","Glock In My Lap","0,00104","10","574","gangster","211"
"48","143029","846","hip-hop","-8618","989","419","Lil Durk, Lil Baby, Polo G","4","359","3 Headed Goat (feat. Lil Baby & Polo G)","0","8","269","gangster","212"
"575","120031","88","hip-hop","-6091","109","671","Lil Tjay, Offset, Moneybagg Yo","4","163","Run It Up (feat. Offset & Moneybagg Yo)","0","6","415","gangster","213"
"727","150062","477","hip-hop","-4053","108","227","DJ Khaled, Lil Baby, Lil Durk","4","286","EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)","0","2","866","gangster","214"
"495","137027","853","hip-hop","-1463","844","774","Drake","4","14","Sticky","217","6","917","gangster","215"
"434","150062","833","hip-hop","-8795","165","281","Future","4","431","Mask Off","219","2","102","gangster","216"
"564","77972","856","hip-hop","-6295","134","483","Lil Baby","4","392","On Me","0","6","327","gangster","217"
"67","139956","79","hip-hop","-5527","119","408","Kendrick Lamar","4","105","N95","0,000232","1","377","gangster","218"
"733","97974","825","hip-hop","-5625","112","62","21 Savage, Metro Boomin, Young Thug","4","969","Rich Nigga Shit (feat. Young Thug)","0","1","349","gangster","219"
"567","75965","574","hip-hop","-7126","258","526","JID, 21 Savage, Baby Tate","4","465","Surround Sound (feat. 21 Savage & Baby Tate)","0","7","164","gangster","220"
"434","150062","833","hip-hop","-8795","165","281","Future","4","431","Mask Off","219","2","102","trap","221"
"665","94329","583","hip-hop","-3885","112","463","Matuê, Veigh","4","18","Imagina esse Cenário","0","1","314","trap","222"
"346","119957","963","hip-hop","-9309","108","562","Lil Baby, Drake","4","53","Yes Indeed","0","5","355","trap","223"
"577","148107","797","hip-hop","-5617","301","17","Duki, Wiz Khalifa, Arcángel","4","195","Wake Up & Bake Up","0","1","174","trap","224"
"59","11997","88","hip-hop","-4709","184","723","Teto, Matuê","4","204","M4","0","8","8","trap","225"
"631","129902","807","hip-hop","-4883","117","126","Trap Capos, Noriel, Anuel AA, Baby Rasta","4","111","Diablita (feat. Anuel AA & Baby Rasta)","0","8","407","trap","226"
"413","131964","772","hip-hop","-8194","111","211","Chief Keef","4","891","Love Sosa","0","0","361","trap","227"
"822","165946","513","hip-hop","-451","11","768","Night Skinny, Nerissima Serpe, Papa V","4","383","Tessera sanitaria (feat. Nerissima Serpe & Papa V)","0","1","14","trap","228"
"666","127079","926","hip-hop","-5314","123","168","Migos, Lil Uzi Vert","4","244","Bad and Boujee (feat. Lil Uzi Vert)","0","11","611","trap","229"
"575","14595","713","hip-hop","-6706","169","189","Young Stoner Life, Young Thug, Meek Mill, T-Shyne","4","501","That Go! (feat. T-Shyne)","0","1","669","trap","230"
"586","124041","808","hip-hop","-7242","14","568","Arcángel, Bad Bunny","4","169","Me Acostumbre (feat. Bad Bunny)","0","10","641","trap","231"
"676","162012","814","hip-hop","-467","119","312","Future, Metro Boomin, Kendrick Lamar","4","231","Like That","0,00128","11","709","trap","232"
"928","109966","616","hip-hop","-234","156","23","Matuê","4","43","Castlevania","0","9","168","trap","233"
"542","13514","926","hip-hop","-5064","877","564","Lil Baby, 42 Dugg","4","293","We Paid (feat. 42 Dugg)","0","1","135","trap","234"
